time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,no,333.92701298701314,206.33506493506485,281.2,100.00000000000004,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,10649.235654354095,46.28513765335083,77610,5938
no,no,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,10649.235654354095,26.84976673126221,77610,5938
no,no,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,10649.235654354095,28.07074093818665,77610,5938
no,no,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,10649.235654354095,30.395103693008426,77610,5938
no,no,333.92701298701314,206.33506493506485,263.86,100.0,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,10649.235654354095,50.631769895553596,77610,5938
no,no,333.92701298701314,206.33506493506485,260.06999999999994,100.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,10649.235654354095,42.08096599578858,77610,5938
no,no,333.92701298701314,206.33506493506485,269.35,100.0,266.50625,273.89533615830493,315.028125,164.5875588295919,10649.235654354095,40.966813325881965,77610,5938
no,100,97.9358620689655,11.444827586206902,351.54,8.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,10649.235654354095,46.12445497512818,77611,5938
no,100,97.9358620689655,11.444827586206902,347.82,8.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,10649.235654354095,50.19161319732666,77611,5938
no,100,97.9358620689655,11.444827586206902,356.94,8.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,10649.235654354095,43.79138374328613,77611,5938
no,100,97.9358620689655,11.444827586206902,363.21,8.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,10649.235654354095,36.96371293067932,77611,5938
no,100,97.9358620689655,11.444827586206902,359.39,8.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,10649.235654354095,45.001397609710686,77611,5938
no,100,94.81575342465752,9.936986301369867,369.34,7.000000000000001,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,10649.235654354095,47.55796003341675,77611,5938
no,100,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,10649.235654354095,25.761412620544434,77611,5938
no,100,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,10649.235654354095,26.53715515136719,77611,5938
no,100,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,10649.235654354095,29.19967770576477,77611,5938
no,100,97.9358620689655,11.444827586206902,359.33,8.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,10649.235654354095,47.775993824005134,77611,5938
no,100,97.9358620689655,11.444827586206902,355.52,8.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,10649.235654354095,39.4317216873169,77611,5938
no,100,97.9358620689655,11.444827586206902,364.87,8.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,10649.235654354095,39.68838262557984,77611,5938
no,100,97.9358620689655,11.444827586206902,351.54,8.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,10649.235654354095,48.02471232414246,77611,5938
no,100,97.9358620689655,11.444827586206902,347.82,8.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,10649.235654354095,50.72338104248047,77611,5938
