InstanceID,improvement,y_sol(keuro)_baseline,y_memAvg(MB)_baseline,y_time(sec)_baseline,y_sol(keuro),y_memAvg(MB),y_time(sec),alg,conf
12.0,0.2,406.38,60.3,1.68,296.19,88.3555681818182,59.4706818181818,C,90.0
12.0,0.22,406.38,60.3,1.68,296.19,88.3555681818182,59.4706818181818,C,90.0
12.0,0.25,406.38,60.3,1.68,296.19,88.3555681818182,59.4706818181818,C,90.0
13.0,0.02,401.12,60.35,1.81,360.47000000000014,60.11749999999995,1.9087499999999409,A,1.0
13.0,0.05,401.12,60.35,1.81,360.47,60.117500000000035,1.9087499999999409,A,1.0
13.0,0.07,401.12,60.35,1.81,360.47,60.11749999999995,1.9087499999999409,A,1.0
13.0,0.1,401.12,60.35,1.81,351.73,65.9784210526316,3.0894736842104753,A,2.0
13.0,0.12,401.12,60.35,1.81,351.73,65.9784210526316,3.0894736842104753,A,2.0
13.0,0.15,401.12,60.35,1.81,335.11999999999995,83.82810126582281,11.249113924050635,C,10.0
13.0,0.17,401.12,60.35,1.81,293.06,84.1716666666667,13.078076923076908,C,13.0
13.0,0.2,401.12,60.35,1.81,293.06,84.1716666666667,13.078076923076908,C,13.0
13.0,0.22,401.12,60.35,1.81,293.06,84.1716666666667,13.078076923076908,C,13.0
13.0,0.25,401.12,60.35,1.81,293.06,84.1716666666667,13.078076923076908,C,13.0
14.0,0.02,410.88,60.25,1.48,369.57000000000016,60.11749999999995,1.9087499999999409,A,1.0
14.0,0.05,410.88,60.25,1.48,369.57000000000016,60.11749999999995,1.9087499999999409,A,1.0
14.0,0.07,410.88,60.25,1.48,369.57,60.11749999999995,1.9087499999999409,A,1.0
14.0,0.1,410.88,60.25,1.48,360.85,65.9784210526316,3.0894736842104753,A,2.0
14.0,0.12,410.88,60.25,1.48,360.85,65.9784210526316,3.0894736842104753,A,2.0
14.0,0.15,410.88,60.25,1.48,304.6833333333332,84.1716666666667,13.078076923076921,C,13.0
