time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,no,333.92701298701314,206.33506493506485,260.42499999999995,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,80.74761486053467,0.7660722732543945,11111,1181
no,no,333.92701298701314,206.33506493506485,256.70500000000004,100.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,80.74761486053467,0.77292799949646,11111,1181
no,no,333.92701298701314,206.33506493506485,267.0083333333333,100.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,80.74761486053467,0.7311785221099854,11111,1181
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,80.74761486053467,0.6870510578155518,11111,1181
no,no,333.92701298701314,206.33506493506485,269.395,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,80.74761486053467,0.6838891506195068,11111,1181
no,no,333.92701298701314,206.33506493506485,280.60909090909087,100.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,80.74761486053467,0.6867611408233643,11111,1181
no,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,80.74761486053467,0.4120407104492188,11111,1181
no,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,80.74761486053467,0.4309523105621338,11111,1181
no,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,80.74761486053467,0.4206082820892334,11111,1181
no,no,333.92701298701314,206.33506493506485,269.395,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,80.74761486053467,0.7078266143798828,11111,1181
no,no,333.92701298701314,206.33506493506485,269.97217391304343,100.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,80.74761486053467,0.7263667583465576,11111,1181
no,no,333.92701298701314,206.33506493506485,279.58942857142847,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,80.74761486053467,0.6929113864898682,11111,1181
no,no,333.92701298701314,206.33506493506485,260.42499999999995,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,80.74761486053467,0.7173781394958496,11111,1181
no,no,333.92701298701314,206.33506493506485,256.70500000000004,100.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,80.74761486053467,0.7757124900817871,11111,1181
no,no,333.92701298701314,206.33506493506485,267.0083333333333,100.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,80.74761486053467,0.7376151084899902,11111,1181
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,80.74761486053467,0.6574280261993408,11111,1181
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,80.74761486053467,0.6926391124725342,11111,1181
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,80.74761486053467,0.7107672691345215,11111,1181
no,no,333.92701298701314,206.33506493506485,264.4325,100.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,80.74761486053467,0.7093164920806885,11111,1181
no,no,333.92701298701314,206.33506493506485,259.695,100.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,80.74761486053467,0.7578327655792236,11111,1181
no,no,333.92701298701314,206.33506493506485,267.0083333333333,100.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,80.74761486053467,0.720860481262207,11111,1181
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,80.74761486053467,0.6581306457519531,11111,1181
no,no,333.92701298701314,206.33506493506485,275.6290476190476,100.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,80.74761486053467,0.729527473449707,11111,1181
no,no,333.92701298701314,206.33506493506485,281.30499999999995,100.0,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,80.74761486053467,0.7163360118865967,11111,1181
no,no,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,80.74761486053467,0.3960375785827637,11111,1181
no,no,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,80.74761486053467,0.3734304904937744,11111,1181
no,no,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,80.74761486053467,0.37694478034973145,11111,1181
no,no,333.92701298701314,206.33506493506485,264.4325,100.0,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,80.74761486053467,0.711406946182251,11111,1181
no,no,333.92701298701314,206.33506493506485,259.695,100.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,80.74761486053467,0.6939806938171387,11111,1181
no,no,333.92701298701314,206.33506493506485,277.3670967741935,100.0,266.50625,273.89533615830493,315.028125,164.5875588295919,80.74761486053467,0.662013053894043,11111,1181
no,83,78.08094594594594,5.554054054054053,352.61352941176466,4.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,80.74761486053467,0.7170825004577637,11112,1181
no,83,78.08094594594594,5.554054054054053,349.2100000000001,4.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,80.74761486053467,0.7208526134490967,11112,1181
no,83,78.08094594594594,5.554054054054053,357.2053125,4.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,80.74761486053467,0.7299356460571289,11112,1181
no,83,78.08094594594594,5.554054054054053,363.750625,4.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,80.74761486053467,0.6721010208129883,11112,1181
no,83,78.08094594594594,5.554054054054053,360.28222222222223,4.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,80.74761486053467,0.6630091667175293,11112,1181
no,83,78.08094594594594,5.554054054054053,372.26780487804876,4.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,80.74761486053467,0.6450266838073729,11112,1181
no,83,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,80.74761486053467,0.4189152717590332,11112,1181
no,83,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,80.74761486053467,0.3852741718292236,11112,1181
no,83,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,80.74761486053467,0.3719179630279541,11112,1181
no,83,78.08094594594594,5.554054054054053,360.511304347826,4.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,80.74761486053467,0.6682929992675781,11112,1181
no,83,78.08094594594594,5.554054054054053,357.2220000000001,4.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,80.74761486053467,0.6469159126281738,11112,1181
no,83,78.08094594594594,5.554054054054053,366.588,4.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,80.74761486053467,0.6414189338684082,11112,1181
no,83,78.08094594594594,5.554054054054053,352.61352941176466,4.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,80.74761486053467,0.7107601165771484,11112,1181
no,83,78.08094594594594,5.554054054054053,349.2100000000001,4.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,80.74761486053467,0.7465925216674805,11112,1181
no,83,78.08094594594594,5.554054054054053,357.2053125,4.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,80.74761486053467,0.7329909801483154,11112,1181
no,83,78.08094594594594,5.554054054054053,366.38376811594213,4.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,80.74761486053467,0.6717064380645752,11112,1181
no,83,78.08094594594594,5.554054054054053,366.38376811594213,4.0,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,80.74761486053467,0.6508095264434814,11112,1181
no,83,78.08094594594594,5.554054054054053,366.38376811594213,4.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,80.74761486053467,0.6498479843139648,11112,1181
no,83,78.08094594594594,5.554054054054053,357.2053125,4.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,80.74761486053467,0.7164459228515625,11112,1181
no,83,78.08094594594594,5.554054054054053,353.06699999999995,4.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,80.74761486053467,0.7459347248077393,11112,1181
no,83,78.08094594594594,5.554054054054053,360.19705882352935,4.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,80.74761486053467,0.6790437698364258,11112,1181
no,83,78.08094594594594,5.554054054054053,366.38376811594213,4.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,80.74761486053467,0.6382665634155273,11112,1181
