time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time
no,87,84.17166666666667,13.078076923076924,364.8753629032259,12.999999999999998,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,19.915031909942627,0.257474422454834
no,87,85.33525,20.271499999999996,323.39363636363635,25.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,19.915031909942627,0.2703115940093994
no,87,83.95182926829268,11.849756097560977,310.7472222222222,11.000000000000002,271.88958333333335,279.4281923556743,321.38437500000003,167.9097663975884,19.915031909942627,0.25717854499816895
no,87,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513666,19.915031909942627,0.13391971588134766
no,87,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81874999999997,177.77185244981138,19.915031909942627,0.13253211975097656
no,87,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,19.915031909942627,0.12353825569152832
no,87,84.17166666666667,13.078076923076924,364.8753629032259,13.000000000000002,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,19.915031909942627,0.26030611991882324
no,87,83.95182926829268,11.849756097560977,316.2832352941176,11.000000000000002,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,19.915031909942627,0.26546812057495117
no,87,83.95182926829268,11.849756097560977,308.63124999999997,11.000000000000002,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,19.915031909942627,0.2660400867462158
no,87,86.9315,48.68774999999999,321.42345132743367,71.00000000000001,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,19.915031909942627,0.2767503261566162
no,87,84.17166666666667,13.078076923076924,293.7309677419355,13.000000000000002,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,19.915031909942627,0.27659106254577637
no,87,86.17620253164557,23.265063291139235,310.11181818181814,29.999999999999993,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,19.915031909942627,0.27604222297668457
no,87,83.5095890410959,9.451095890410958,402.2245,7.000000000000001,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,19.915031909942627,0.24938035011291504
no,87,83.95182926829268,11.849756097560977,338.61333333333334,11.000000000000002,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,19.915031909942627,0.2557697296142578
no,87,86.35628205128205,24.034102564102565,332.74013513513523,31.000000000000007,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,19.915031909942627,0.24492454528808594
no,87,84.0565671641791,12.47701492537315,334.0568421052632,11.999999999999977,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,19.915031909942627,0.2750084400177002
no,87,84.17166666666667,13.078076923076924,310.11181818181814,13.000000000000002,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,19.915031909942627,0.26973390579223633
no,87,86.17620253164557,23.265063291139235,321.4871199999999,30.0,265.96875,273.34187968568625,314.38958333333335,164.2528636731378,19.915031909942627,0.26185154914855957
no,87,86.35628205128205,24.034102564102565,408.53741379310344,31.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,19.915031909942627,0.24934864044189453
no,87,83.95182926829268,11.849756097560977,338.61333333333334,11.000000000000002,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,19.915031909942627,0.2764923572540283
no,87,86.35628205128205,24.034102564102565,332.74013513513523,31.000000000000007,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,19.915031909942627,0.24685335159301758
no,87,no_sol,no_sol,no_sol,no_sol,249.06770833333334,257.24515969482286,291.90416666666664,156.37602245646727,19.915031909942627,0.1322314739227295
no,87,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,19.915031909942627,0.12778997421264648
no,87,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,19.915031909942627,0.12922191619873047
no,87,83.95182926829268,11.849756097560977,334.0568421052632,11.0,268.02187499999997,276.81694997293374,314.1177083333333,168.27839903638332,19.915031909942627,0.24942278861999512
no,87,83.95182926829268,11.849756097560977,321.4871199999999,11.000000000000002,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,19.915031909942627,0.26282501220703125
no,87,83.95182926829268,11.849756097560977,321.4871199999999,11.000000000000002,266.50624999999997,273.8953361583049,315.028125,164.58755882959193,19.915031909942627,0.2630746364593506
5,no,no_sol,no_sol,no_sol,no_sol,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,19.915031909942627,0.16368436813354492
5,no,no_sol,no_sol,no_sol,no_sol,262.66770833333334,270.722787757911,310.02500029479165,159.8307387614777,19.915031909942627,0.17702078819274902
5,no,no_sol,no_sol,no_sol,no_sol,263.81874999999997,271.12750010853597,311.83958333333334,162.92226832601202,19.915031909942627,0.1771543025970459
5,no,no_sol,no_sol,no_sol,no_sol,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,19.915031909942627,0.16183805465698242
5,no,no_sol,no_sol,no_sol,no_sol,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,19.915031909942627,0.16695094108581543
5,no,no_sol,no_sol,no_sol,no_sol,271.88958333333335,279.4281923556743,321.38437500000003,167.9097663975884,19.915031909942627,0.1650981903076172
5,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513666,19.915031909942627,0.12346315383911133
5,no,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81874999999997,177.77185244981138,19.915031909942627,0.12430524826049805
5,no,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,19.915031909942627,0.12734556198120117
5,no,no_sol,no_sol,no_sol,no_sol,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,19.915031909942627,0.15471243858337402
