time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
30,83,82.84299999999999,5.748874999999992,405.565,1,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,20.818885087966922,0.2561478614807129,6597,753
30,83,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,20.818885087966922,0.1681039333343506,6597,753
30,83,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,20.818885087966922,0.167144775390625,6597,753
30,83,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,20.818885087966922,0.17045331001281738,6597,753
30,83,82.84299999999999,5.748874999999992,420.0038461538462,1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,20.818885087966922,0.2532339096069336,6597,753
30,83,82.84299999999999,5.748874999999992,353.1942857142857,1,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,20.818885087966922,0.25307750701904297,6597,753
30,83,82.84299999999999,5.748874999999992,383.7383333333333,1,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,20.818885087966922,0.30622506141662603,6597,753
30,83,82.84299999999999,5.748874999999992,382.77560975609765,1,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,20.818885087966922,0.2587888240814209,6597,753
30,83,82.84299999999999,5.748874999999992,382.77560975609765,1,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,20.818885087966922,0.2551684379577637,6597,753
30,83,82.84299999999999,5.748874999999992,382.77560975609765,1,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,20.818885087966922,0.2729759216308594,6597,753
30,83,82.93710526315789,6.3986842105263175,423.5575,2.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,20.818885087966922,0.25037097930908203,6597,753
30,83,82.84299999999999,5.748874999999992,405.565,1,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,20.818885087966922,0.2573325634002685,6597,753
30,83,82.84299999999999,5.748874999999992,427.9463636363636,1,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,20.818885087966922,0.26028966903686523,6597,753
30,83,82.84299999999999,5.748874999999992,382.77560975609765,1,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,20.818885087966922,0.23888421058654785,6597,753
30,83,82.84299999999999,5.748874999999992,382.77560975609765,1,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,20.818885087966922,0.25579309463500977,6597,753
30,83,82.84299999999999,5.748874999999992,382.77560975609765,1,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,20.818885087966922,0.27230238914489746,6597,753
30,83,82.84299999999999,5.748875,459.07749999999976,1,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,20.818885087966922,0.21538877487182614,6597,753
30,83,82.84299999999999,5.748874999999992,405.565,1,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,20.818885087966922,0.2559001445770264,6597,753
30,83,82.84299999999999,5.748874999999992,427.9463636363636,1,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,20.818885087966922,0.2541935443878174,6597,753
30,83,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,20.818885087966922,0.15625309944152832,6597,753
30,83,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,20.818885087966922,0.1585257053375244,6597,753
30,83,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,20.818885087966922,0.15464258193969727,6597,753
30,83,82.84299999999999,5.748874999999992,382.77560975609765,1,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,20.818885087966922,0.2624030113220215,6597,753
30,83,82.84299999999999,5.748874999999992,382.77560975609765,1,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,20.818885087966922,0.2571663856506348,6597,753
