time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,no,88.35556818181819,59.470681818181816,369.95,90.00000000000001,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,21.4306833744,0.26551055908203125,6595,753
no,no,88.35556818181816,59.470681818181646,311.16,89.99999999999973,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,21.4306833744,0.2602696418762207,6595,753
no,no,88.94467532467533,65.04909090909094,312.0774468085106,100.0,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,21.4306833744,0.2391462326049805,6595,753
no,no,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,21.4306833744,0.1318528652191162,6595,753
no,no,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,21.4306833744,0.12253642082214355,6595,753
no,no,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,21.4306833744,0.14035773277282715,6595,753
no,no,88.35556818181819,59.470681818181816,312.67,90.00000000000001,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,21.4306833744,0.27030253410339355,6595,753
no,no,83.95182926829268,11.849756097560975,321.4871199999999,11.000000000000002,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,21.4306833744,0.28221917152404785,6595,753
no,no,88.94467532467533,65.04909090909094,315.1612499999999,100.0,266.50625,273.89533615830493,315.028125,164.5875588295919,21.4306833744,0.2648956775665283,6595,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,21.4306833744,0.2422482967376709,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,21.4306833744,0.24849390983581546,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,21.4306833744,0.2492191791534424,6596,753
no,83,82.84299999999999,5.748874999999981,427.9463636363636,1,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,21.4306833744,0.2276384830474853,6596,753
no,83,82.84299999999999,5.748874999999981,383.7383333333333,1,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,21.4306833744,0.23716163635253906,6596,753
no,83,82.84299999999999,5.748874999999981,405.565,1,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,21.4306833744,0.2270631790161133,6596,753
no,83,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,21.4306833744,0.13195085525512695,6596,753
no,83,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,21.4306833744,0.13429999351501465,6596,753
no,83,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,21.4306833744,0.13933300971984866,6596,753
no,83,82.84299999999999,5.748874999999981,420.0038461538462,1,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,21.4306833744,0.22466683387756348,6596,753
no,83,82.84299999999999,5.748874999999981,353.1942857142857,1,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,21.4306833744,0.2336189746856689,6596,753
no,83,82.84299999999999,5.748874999999981,383.7383333333333,1,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,21.4306833744,0.24463462829589844,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,21.4306833744,0.24495458602905276,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,21.4306833744,0.24498867988586426,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,21.4306833744,0.24868035316467285,6596,753
no,83,82.93710526315789,6.3986842105263175,423.5575,2.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,21.4306833744,0.2340998649597168,6596,753
no,83,82.84299999999999,5.748874999999981,405.565,1,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,21.4306833744,0.242748498916626,6596,753
no,83,82.84299999999999,5.748874999999981,427.9463636363636,1,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,21.4306833744,0.23102474212646484,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,21.4306833744,0.2435288429260254,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,21.4306833744,0.24532604217529294,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,21.4306833744,0.2471311092376709,6596,753
no,83,82.84299999999999,5.748875,459.0774999999995,1,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,21.4306833744,0.2364547252655029,6596,753
no,83,82.84299999999999,5.748874999999981,405.565,1,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,21.4306833744,0.2333462238311768,6596,753
no,83,82.84299999999999,5.748874999999981,427.9463636363636,1,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,21.4306833744,0.22157001495361328,6596,753
no,83,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,21.4306833744,0.13213682174682614,6596,753
no,83,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,21.4306833744,0.13567757606506348,6596,753
no,83,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,21.4306833744,0.12509655952453613,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,21.4306833744,0.2414851188659668,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,21.4306833744,0.24562716484069824,6596,753
no,83,82.84299999999999,5.748874999999981,382.77560975609765,1,266.50625,273.89533615830493,315.028125,164.5875588295919,21.4306833744,0.24402666091918945,6596,753
no,87,86.9315,48.68774999999999,321.4234513274337,71.00000000000001,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,21.4306833744,0.3899507522583008,6596,753
no,87,84.17166666666667,13.078076923076924,293.7309677419355,13.000000000000002,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,21.4306833744,0.27509212493896484,6596,753
no,87,86.17620253164557,23.265063291139235,310.11181818181814,29.999999999999996,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,21.4306833744,0.2755258083343506,6596,753
no,87,84.17166666666667,13.078076923076924,364.87536290322583,12.999999999999998,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,21.4306833744,0.2510566711425781,6596,753
no,87,85.33525,20.2715,323.39363636363635,25.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,21.4306833744,0.2671988010406494,6596,753
no,87,83.95182926829268,11.849756097560975,310.74722222222215,11.000000000000002,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,21.4306833744,0.2642183303833008,6596,753
no,87,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,21.4306833744,0.13438749313354492,6596,753
no,87,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,21.4306833744,0.2901146411895752,6596,753
no,87,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,21.4306833744,0.13603544235229492,6596,753
no,87,84.17166666666667,13.078076923076924,364.87536290322583,13.000000000000002,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,21.4306833744,0.5046062469482422,6596,753
no,87,83.95182926829268,11.849756097560975,316.2832352941176,11.000000000000002,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,21.4306833744,2.928263664245605,6596,753
no,87,83.95182926829268,11.849756097560975,308.63125,11.000000000000002,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,21.4306833744,0.2364513874053955,6596,753
no,87,86.9315,48.68774999999999,321.4234513274337,71.00000000000001,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,21.4306833744,0.2502906322479248,6596,753
no,87,84.17166666666667,13.078076923076924,293.7309677419355,13.000000000000002,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,21.4306833744,0.2694103717803955,6596,753
no,87,86.17620253164557,23.265063291139235,310.11181818181814,29.999999999999996,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,21.4306833744,0.33181166648864746,6596,753
no,87,83.50958904109591,9.451095890410958,402.2245,7.000000000000001,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,21.4306833744,0.26456141471862793,6596,753
no,87,83.95182926829268,11.849756097560975,338.61333333333334,11.000000000000002,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,21.4306833744,0.26732540130615234,6596,753
no,87,86.35628205128204,24.034102564102568,332.74013513513523,31.00000000000001,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,21.4306833744,0.25363898277282715,6596,753
no,87,84.0565671641791,12.477014925373151,334.0568421052632,11.999999999999973,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,21.4306833744,0.2741308212280273,6596,753
no,87,84.17166666666667,13.078076923076924,310.11181818181814,13.000000000000002,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,21.4306833744,0.2632250785827637,6596,753
no,87,86.17620253164557,23.265063291139235,321.4871199999999,30.0,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,21.4306833744,0.26657819747924805,6596,753
no,87,86.35628205128204,24.034102564102568,408.5374137931034,31.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,21.4306833744,0.6936442852020264,6596,753
no,87,83.95182926829268,11.849756097560975,338.61333333333334,11.000000000000002,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,21.4306833744,0.6334736347198486,6596,753
no,87,86.35628205128204,24.034102564102568,332.74013513513523,31.00000000000001,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,21.4306833744,1.1346707344055176,6596,753
no,87,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,21.4306833744,0.14035868644714355,6596,753
no,87,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,21.4306833744,0.14330005645751953,6596,753
no,87,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,21.4306833744,0.13846683502197266,6596,753
no,87,83.95182926829268,11.849756097560975,334.0568421052632,11.0,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,21.4306833744,0.2772645950317383,6596,753
