instance,improvement,sol(keuro),cplex_time,status,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_memAvg(MB) %,y_time(sec) %,,PV_mean,PV_std,Load_mean,Load_std,baseline_memAvg(MB)no,baseline_time(sec)no,,baseline_memAvg(MB),baseline_time(sec)
27,0.02,391.24,4.2944,integer optimal solution,1388.64,104.45,386.69,11,0.0360,0.0125,,271.0677083,279.9105194,323.2895833,175.8063266,49.94,1.31,,49.94,1.31
27,0.05,379.26,4.2491,integer optimal solution,2810.77,355.76,360.81,23,0.0178,0.0037,,,,,,,,,49.94,1.31
27,0.07,371.27,4.1972,integer optimal solution,2810.77,355.76,360.81,23,0.0178,0.0037,,,,,,,,,49.94,1.31
27,0.10,359.30,4.1044,integer optimal solution,6849.40,2936.65,345.12,72,0.0073,0.0004,,,,,,,,,49.94,1.31
27,0.12,351.31,4.1618,integer optimal solution,6849.40,2936.65,345.12,72,0.0073,0.0004,,,,,,,,,49.94,1.31
27,0.15,339.34,3.9914,No solution,,,,,,,,,,,,,,,49.94,1.31
28,0.02,393.20,4.2701,integer optimal solution,4102.81,636.27,378.48,32,0.0122,0.0020,,269.7291667,279.6676021,322.1,175.1539145,49.95,1.28,,49.95,1.28
28,0.05,381.16,4.2502,integer optimal solution,4102.81,636.27,378.48,32,0.0122,0.0020,,,,,,,,,49.95,1.28
28,0.07,373.13,4.2497,integer optimal solution,6849.40,2936.65,365.23,72,0.0073,0.0004,,,,,,,,,49.95,1.28
28,0.10,361.10,4.1601,No solution,,,,,,,,,,,,,,,49.95,1.28
29,0.02,398.80,3.1493,No solution,,,,,,,,270.340625,278.873914,323.4260417,177.7785849,49.97,1.45,,49.97,1.45
30,0.02,400.20,2.8981,No solution,,,,,,,,271.6489583,279.3590059,325.6708333,177.853698,49.99,1.31,,49.99,1.31
31,0.02,394.06,4.5977,integer optimal solution,88.92,9.51,374.97,1,0.5624,0.1420,,268.3583333,277.0680003,321.8583333,173.4283988,50.01,1.35,,50.01,1.35
31,0.05,382.00,4.5195,integer optimal solution,88.92,9.51,374.97,1,0.5624,0.1420,,,,,,,,,50.01,1.35
31,0.07,373.95,4.9093,integer optimal solution,251.78,9.51,366.52,2,0.1986,0.1420,,,,,,,,,50.01,1.35
31,0.10,361.89,4.5798,integer optimal solution,396.82,18.39,321.97,3,0.1260,0.0734,,,,,,,,,50.01,1.35
31,0.12,353.85,4.5645,integer optimal solution,396.82,18.39,321.97,3,0.1260,0.0734,,,,,,,,,50.01,1.35
31,0.15,341.79,4.5809,integer optimal solution,396.82,18.39,321.97,3,0.1260,0.0734,,,,,,,,,50.01,1.35
31,0.17,333.74,4.5097,integer optimal solution,396.82,18.39,321.97,3,0.1260,0.0734,,,,,,,,,50.01,1.35
31,0.20,321.68,4.5061,integer optimal solution,1622.77,136.32,320.12,13,0.0308,0.0099,,,,,,,,,50.01,1.35
31,0.22,313.64,4.5257,integer optimal solution,3958.81,601.21,305.72,31,0.0126,0.0022,,,,,,,,,50.01,1.35
31,0.25,301.58,4.4601,integer optimal solution,6849.40,2936.65,295.38,72,0.0073,0.0005,,,,,,,,,50.01,1.35
31,0.27,293.53,4.3724,No solution,,,,,,,,,,,,,,,50.01,1.35
32,0.02,367.68,4.2145,integer optimal solution,1532.98,120.01,327.30,12,0.0326,0.0108,,271.996875,280.958653,318.6375,170.8717156,50.02,1.3,,50.02,1.3
32,0.05,356.42,4.1152,integer optimal solution,1532.98,120.01,327.30,12,0.0326,0.0108,,,,,,,,,50.02,1.3
32,0.07,348.92,4.0443,integer optimal solution,1532.98,120.01,327.30,12,0.0326,0.0108,,,,,,,,,50.02,1.3
32,0.10,337.66,4.0672,integer optimal solution,1532.98,120.01,327.30,12,0.0326,0.0108,,,,,,,,,50.02,1.3
32,0.12,330.16,3.9078,integer optimal solution,1532.98,120.01,327.30,12,0.0326,0.0108,,,,,,,,,50.02,1.3
32,0.15,318.90,3.8890,No solution,,,,,,,,,,,,,,,50.02,1.3
33,0.02,396.04,3.7816,integer optimal solution,4102.81,636.27,381.35,32,0.0122,0.0020,,272.8458333,281.2193309,326.2145833,176.1530992,50.03,1.3,,50.03,1.3
33,0.05,383.91,3.7992,integer optimal solution,4102.81,636.27,381.35,32,0.0122,0.0020,,,,,,,,,50.03,1.3
33,0.07,375.83,3.6865,integer optimal solution,6849.40,2936.65,375.65,72,0.0073,0.0004,,,,,,,,,50.03,1.3
33,0.10,363.71,3.7625,No solution,,,,,,,,,,,,,,,50.03,1.3
34,0.02,407.32,2.9667,No solution,,,,,,,,270.725,280.2651691,325.9385417,177.4481529,50.03,1.28,,50.03,1.28
35,0.02,383.49,3.9197,integer optimal solution,4043.35,871.42,375.62,38,0.0124,0.0015,,271.4989583,280.6723741,322.884375,172.8691354,50.04,1.29,,50.04,1.29
35,0.05,371.75,3.8828,integer optimal solution,7411.97,3013.23,367.98,73,0.0068,0.0004,,,,,,,,,50.04,1.29
35,0.07,363.93,3.7315,No solution,,,,,,,,,,,,,,,50.04,1.29
36,0.02,413.80,3.1664,No solution,,,,,,,,268.6958333,277.9957891,326.0416667,178.4138282,50.06,1.28,,50.06,1.28
37,0.02,400.84,3.8921,integer optimal solution,1388.64,104.45,398.62,11,0.0361,0.0122,,272.05,280.4153935,325.8135417,175.4992157,50.07,1.27,,50.07,1.27
37,0.05,388.57,3.7983,integer optimal solution,1532.98,120.01,385.41,12,0.0327,0.0106,,,,,,,,,50.07,1.27
37,0.07,380.39,3.7466,integer optimal solution,4043.35,871.42,375.62,38,0.0124,0.0015,,,,,,,,,50.07,1.27
37,0.10,368.12,3.7634,integer optimal solution,7411.97,3013.23,367.98,73,0.0068,0.0004,,,,,,,,,50.07,1.27
37,0.12,359.94,3.7980,No solution,,,,,,,,,,,,,,,50.07,1.27
38,0.02,403.73,2.9825,No solution,,,,,,,,270.8208333,279.3035956,325.790625,177.2880355,50.11,1.48,,50.11,1.48
39,0.02,378.33,4.1656,integer optimal solution,1532.98,120.01,299.90,12,0.0327,0.0111,,271.7177083,280.1705251,321.7708333,168.6523717,50.13,1.33,,50.13,1.33
39,0.05,366.75,4.0980,integer optimal solution,1532.98,120.01,299.90,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.07,359.03,4.1272,integer optimal solution,1532.98,120.01,299.90,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.10,347.45,4.0592,integer optimal solution,1532.98,120.01,299.90,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.12,339.72,4.0886,integer optimal solution,1532.98,120.01,299.90,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.15,328.14,4.0776,integer optimal solution,1532.98,120.01,299.90,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.17,320.42,4.1503,integer optimal solution,1532.98,120.01,299.90,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.20,308.84,4.2202,integer optimal solution,1532.98,120.01,299.90,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.22,301.12,4.0457,integer optimal solution,1532.98,120.01,299.90,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.25,289.54,3.8386,integer optimal solution,3897.04,830.83,287.50,37,0.0129,0.0016,,,,,,,,,50.13,1.33
39,0.27,281.82,3.8380,No solution,,,,,,,,,,,,,,,50.13,1.33
40,0.02,390.33,3.9953,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0021,,271.9427083,280.1571147,323.8916667,174.5740439,50.17,1.29,,50.17,1.29
40,0.05,378.39,3.5942,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0021,,,,,,,,,50.17,1.29
40,0.07,370.42,3.6928,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0021,,,,,,,,,50.17,1.29
40,0.10,358.47,3.7046,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0021,,,,,,,,,50.17,1.29
40,0.12,350.50,3.6863,integer optimal solution,3958.81,601.21,346.38,31,0.0127,0.0021,,,,,,,,,50.17,1.29
40,0.15,338.56,3.6643,No solution,,,,,,,,,,,,,,,50.17,1.29
41,0.02,410.36,3.2088,No solution,,,,,,,,268.290625,275.3806192,325.740625,175.0772089,50.2,1.35,,50.2,1.35
