instance,improvement,sol(keuro),cplex_time,status,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_memAvg(MB) %,y_time(sec) %,,PV_mean,PV_std,Load_mean,Load_std,baseline_memAvg(MB)no,baseline_time(sec)no,,baseline_memAvg(MB),baseline_time(sec)
4,0.17,328.56,4.4792,integer optimal solution,1388.64,104.45,325.43,11,0.0361,0.0121,,,,,,,,,50.11,1.26
4,0.20,316.69,4.3122,No solution,,,,,,,,,,,,,,,50.11,1.26
5,0.02,396.33,4.2951,integer optimal solution,1388.64,104.45,390.22,11,0.0361,0.0127,,269.75625,279.4910452,323.9395833,173.6034931,50.14,1.33,,50.14,1.33
5,0.05,384.20,4.3331,integer optimal solution,1532.98,120.01,373.07,12,0.0327,0.0111,,,,,,,,,50.14,1.33
5,0.07,376.11,4.3594,integer optimal solution,1532.98,120.01,373.07,12,0.0327,0.0111,,,,,,,,,50.14,1.33
5,0.10,363.98,4.4240,No solution,,,,,,,,,,,,,,,50.14,1.33
6,0.02,404.66,4.5452,integer optimal solution,824.74,42.58,385.06,6,0.0609,0.0301,,269.4614583,278.542418,325.921875,174.243429,50.19,1.28,,50.19,1.28
6,0.05,392.27,4.4875,integer optimal solution,824.74,42.58,385.06,6,0.0609,0.0301,,,,,,,,,50.19,1.28
6,0.07,384.02,4.4266,integer optimal solution,3958.81,601.21,380.02,31,0.0127,0.0021,,,,,,,,,50.19,1.28
6,0.10,371.63,4.3784,integer optimal solution,4246.90,672.11,370.07,33,0.0118,0.0019,,,,,,,,,50.19,1.28
6,0.12,363.37,4.3815,integer optimal solution,3897.04,830.83,351.62,37,0.0129,0.0015,,,,,,,,,50.19,1.28
6,0.15,350.98,4.3545,integer optimal solution,4043.35,871.42,345.07,38,0.0124,0.0015,,,,,,,,,50.19,1.28
6,0.17,342.72,4.2865,integer optimal solution,7411.97,3013.23,339.12,73,0.0068,0.0004,,,,,,,,,50.19,1.28
6,0.20,330.34,4.2339,No solution,,,,,,,,,,,,,,,50.19,1.28
7,0.02,399.79,3.7249,integer optimal solution,1100.16,76.83,390.37,9,0.0457,0.0169,,274.6,283.0242871,328.153125,176.0568877,50.23,1.3,,50.23,1.3
7,0.05,387.55,3.8155,integer optimal solution,1532.98,120.01,371.73,12,0.0328,0.0108,,,,,,,,,50.23,1.3
