time_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables,ANTICIPATE_n_cores,CONTINGENCY_n_cores,y_ANTICIPATE_par_time,y_CONTINGENCY_par_time
no,1.0,0,333.927012987013,206.3350649350649,260.14,88.9446753246753,65.04909090909092,296.56377049180327,100.0,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,28422.463067770004,1.6035089492797852,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,256.46111111111105,88.9446753246753,65.04909090909092,327.9533333333333,100.0,100.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,28422.463067770004,1.182267427444458,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,263.34666666666664,88.9446753246753,65.04909090909092,307.4000000000001,100.0,100.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,28422.463067770004,1.1949217319488523,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,271.69679999999994,88.9446753246753,65.04909090909092,340.25915789473663,100.0,100.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,28422.463067770004,1.21577787399292,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,271.69679999999994,88.9446753246753,65.04909090909092,295.81181818181824,100.0,100.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,28422.463067770004,1.210275650024414,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,281.44199999999995,88.9446753246753,65.04909090909092,300.73400000000004,100.0,100.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,28422.463067770004,1.326145887374878,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,28422.463067770004,0.4090974330902099,16413,1814,no_sol,no_sol,no_sol,no_sol
no,1.0,0,333.927012987013,206.3350649350649,308.374,88.9446753246753,65.04909090909092,483.1800000000001,100.0,100.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,28422.463067770004,1.4949994087219238,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,308.374,88.9446753246753,65.04909090909092,483.1800000000001,100.0,100.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,28422.463067770004,1.183272361755371,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,269.7088235294118,88.9446753246753,65.04909090909092,324.2010416666668,100.0,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,28422.463067770004,1.2067785263061523,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,265.6333333333334,88.9446753246753,65.04909090909092,295.81181818181824,100.0,100.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,28422.463067770004,1.2882955074310305,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,275.19,88.9446753246753,65.04909090909092,291.2505263157897,100.0,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,28422.463067770004,1.2132751941680908,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,260.14,88.9446753246753,65.04909090909092,296.56377049180327,100.0,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,28422.463067770004,1.1962673664093018,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,256.46111111111105,88.9446753246753,65.04909090909092,328.40000000000003,100.0,100.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,28422.463067770004,1.2689428329467771,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,263.34666666666664,88.9446753246753,65.04909090909092,307.4000000000001,100.0,100.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,28422.463067770004,1.203272819519043,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,275.4928125,88.9446753246753,65.04909090909092,355.27,100.0,100.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,28422.463067770004,1.200519323348999,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,275.4928125,88.9446753246753,65.04909090909092,311.61,100.0,100.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,28422.463067770004,1.2695496082305908,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,275.4928125,88.9446753246753,65.04909090909092,347.44,100.0,100.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,28422.463067770004,1.2672858238220217,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,263.34666666666664,88.9446753246753,65.04909090909092,307.05,100.0,100.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,28422.463067770004,1.1977760791778564,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,259.695,88.9446753246753,65.04909090909092,323.73,100.0,100.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,28422.463067770004,1.2002732753753662,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,263.34666666666664,88.9446753246753,65.04909090909092,300.105,100.0,100.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,28422.463067770004,1.206273317337036,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,1.0,0,333.927012987013,206.3350649350649,275.4928125,88.9446753246753,65.04909090909092,370.60230769230776,100.0,100.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,28422.463067770004,1.2352793216705322,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
