time_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables,ANTICIPATE_n_cores,CONTINGENCY_n_cores,y_ANTICIPATE_par_time,y_CONTINGENCY_par_time
no,0,1.0,333.927012987013,206.3350649350649,265.6333333333334,88.9446753246753,65.04909090909092,295.81181818181824,100.0,100.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,28422.463067770004,1.2162306308746338,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,0,1.0,333.927012987013,206.3350649350649,275.19,88.9446753246753,65.04909090909092,291.2505263157897,100.0,100.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,28422.463067770004,1.1858384609222412,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,0,1.0,333.927012987013,206.3350649350649,260.14,88.9446753246753,65.04909090909092,296.56377049180327,100.0,100.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,28422.463067770004,1.2032723426818848,16413,1814,1.0,1.0,206.3350649350649,65.04909090909092
no,0,1.0,333.927012987013,206.3350649350649,256.46111111111105,86.35628205128205,24.03410256410256,300.76439189189176,31.0,100.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,28422.463067770004,1.1950719356536863,16413,1814,1.0,1.0,206.3350649350649,24.03410256410256
no,0,1.0,333.927012987013,206.3350649350649,263.34666666666664,86.35628205128205,24.03410256410256,300.76439189189176,31.0,100.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,28422.463067770004,1.2254352569580078,16413,1814,1.0,1.0,206.3350649350649,24.03410256410256
no,0,1.0,333.927012987013,206.3350649350649,275.4928125,88.59987951807227,61.48795180722892,354.58,94.0,100.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,28422.463067770004,1.202272653579712,16413,1814,1.0,1.0,206.3350649350649,61.48795180722892
no,0,1.0,333.927012987013,206.3350649350649,275.4928125,88.3555681818182,59.470681818181816,311.16,90.0,100.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,28422.463067770004,1.201275110244751,16413,1814,1.0,1.0,206.3350649350649,59.470681818181816
no,0,1.0,333.927012987013,206.3350649350649,275.4928125,88.65902439024387,61.81853658536582,346.77,95.0,100.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,28422.463067770004,1.2042763233184814,16413,1814,1.0,1.0,206.3350649350649,61.81853658536582
no,0,1.0,333.927012987013,206.3350649350649,263.34666666666664,88.3555681818182,59.470681818181816,306.65666666666664,90.0,100.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,28422.463067770004,1.2120110988616943,16413,1814,1.0,1.0,206.3350649350649,59.470681818181816
no,0,1.0,333.927012987013,206.3350649350649,259.695,86.35628205128205,24.03410256410256,300.76439189189176,31.0,100.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,28422.463067770004,1.2152810096740725,16413,1814,1.0,1.0,206.3350649350649,24.03410256410256
