time_less_than,sol_improvement,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std
no,no,82.84300000000007,5.748874999999998,369.19,1.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975
no,no,82.84300000000007,5.748874999999998,379.77,1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302
no,no,82.84300000000007,5.748874999999998,350.52,1.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202
no,no,82.84300000000007,5.748874999999998,432.67,1.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426
no,no,82.84300000000007,5.748874999999998,399.22,1.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271
no,no,82.84300000000007,5.748874999999998,375.01,1.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884
no,no,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663
no,no,82.84300000000007,5.748874999999998,595.0,1.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138
no,no,82.84300000000007,5.748874999999998,595.0,1.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879
no,no,82.84300000000007,5.748874999999998,413.6228571428571,1.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281
no,no,82.84300000000007,5.748874999999998,389.49,1.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873
no,no,82.84300000000007,5.748874999999998,363.56,1.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325
no,no,82.84300000000007,5.748874999999998,369.19,1.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493
no,no,82.84300000000007,5.748874999999998,379.75,1.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122
no,no,82.84300000000007,5.748874999999998,350.52,1.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553
no,no,82.84300000000007,5.748874999999998,461.6,1.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769
