time_less_than,mem_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,no,0,1.0,60.11750000000001,1.9087500000000008,373.56,82.84300000000007,5.748874999999998,355.42,1.0,1.0,266.50625,273.8953361583049,315.028125,164.58755882959193,22351.325761318207,133.9533634185791,111282,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,364.16,82.84300000000007,5.748874999999998,369.19,1.0,1.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,22351.325761318207,145.44340777397156,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,360.44,82.93710526315787,6.398684210526315,369.45,2.0,1.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,22351.325761318207,147.6462836265564,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,369.57,82.84300000000007,5.748874999999998,350.52,1.0,1.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,22351.325761318207,138.70898723602295,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,375.84,83.27843373493981,8.205421686746991,394.5683333333333,5.0,1.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,22351.325761318207,134.20626616477966,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,372.01,82.93710526315787,6.398684210526315,384.66,2.0,1.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,22351.325761318207,135.2908399105072,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,381.42,82.84300000000007,5.748874999999998,375.01,1.0,1.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,22351.325761318207,132.5478479862213,111286,8541
no,0.05,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,22351.325761318207,88.17808485031128,111286,8541
no,0.05,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,22351.325761318207,62.5150089263916,111286,8541
no,0.05,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,22351.325761318207,66.0645158290863,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,371.95,83.16175675675676,7.583378378378379,369.2154545454545,4.0,1.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,22351.325761318207,68.8964421749115,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,368.15,82.93710526315787,6.398684210526315,377.29,2.0,1.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,22351.325761318207,136.23107028007507,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,377.49,82.84300000000007,5.748874999999998,363.56,1.0,1.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,22351.325761318207,134.87012338638306,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,364.16,82.84300000000007,5.748874999999998,369.19,1.0,1.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,22351.325761318207,144.23620057106018,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,360.47,82.93710526315787,6.398684210526315,369.45,2.0,1.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,22351.325761318207,144.10861444473267,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,369.57,82.84300000000007,5.748874999999998,350.52,1.0,1.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,22351.325761318207,137.71053886413574,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,379.75,83.38345679012345,8.837037037037033,394.7,6.0,1.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,22351.325761318207,131.44280314445496,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,375.85,82.84300000000007,5.748874999999998,375.01,1.0,1.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,22351.325761318207,135.44910264015198,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,376.59,83.60563218390806,10.018850574712644,396.93,8.0,1.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,22351.325761318207,129.98303890228271,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,367.3,82.84300000000007,5.748874999999998,382.84,1.0,1.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,22351.325761318207,136.47044730186462,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,363.53,82.93710526315787,6.398684210526315,377.69,2.0,1.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,22351.325761318207,138.75208187103271,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,368.07,82.84300000000007,5.748874999999998,355.42,1.0,1.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,22351.325761318207,138.0222954750061,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,379.75,83.38345679012345,8.837037037037033,394.7,6.0,1.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,22351.325761318207,130.60725259780884,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,375.85,83.06407894736847,7.121710526315791,352.79,3.0,1.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,22351.325761318207,135.1469690799713,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,385.41,82.84300000000007,5.748874999999998,389.98,1.0,1.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,22351.325761318207,129.69107842445374,111286,8541
no,0.05,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,22351.325761318207,92.12455940246582,111286,8541
no,0.05,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,22351.325761318207,60.23812985420227,111286,8541
no,0.05,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,22351.325761318207,61.89826440811157,111286,8541
no,0.05,0,1.0,333.927012987013,206.3350649350649,263.86,82.84300000000007,5.748874999999998,386.73,1.0,100.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,22351.325761318207,70.38444805145264,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,364.28,82.93710526315787,6.398684210526315,377.73,2.0,1.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,22351.325761318207,137.82692742347717,111286,8541
no,0.05,0,1.0,60.11750000000001,1.9087500000000008,373.56,82.84300000000007,5.748874999999998,355.42,1.0,1.0,266.50625,273.8953361583049,315.028125,164.58755882959193,22351.325761318207,136.52649807929993,111286,8541
no,0.1,0,1.0,60.11750000000001,1.9087500000000008,364.16,83.16175675675676,7.583378378378379,332.0,4.0,1.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,22351.325761318207,144.18850016593933,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,351.73,83.16175675675676,7.583378378378379,354.05,4.0,2.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,22351.325761318207,146.70291566848755,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,360.85,82.84300000000007,5.748874999999998,350.52,1.0,2.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,22351.325761318207,137.84178233146667,111286,8541
no,0.1,0,1.0,60.11750000000001,1.9087500000000008,375.84,85.23368421052632,19.670263157894748,367.63,24.0,1.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,22351.325761318207,133.77053713798523,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,363.3,83.06407894736847,7.121710526315791,333.65,3.0,2.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,22351.325761318207,133.88410210609436,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,372.71,82.84300000000007,5.748874999999998,375.01,1.0,2.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,22351.325761318207,131.26746797561646,111286,8541
no,0.1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,22351.325761318207,87.60329103469849,111286,8541
no,0.1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,22351.325761318207,62.801421880722046,111286,8541
no,0.1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,22351.325761318207,66.10190629959106,111286,8541
no,0.1,0,1.0,60.11750000000001,1.9087500000000008,371.95,83.16175675675676,7.583378378378379,369.2154545454545,4.0,1.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,22351.325761318207,71.22188663482666,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,359.43,83.06407894736847,7.121710526315791,322.4,3.0,2.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,22351.325761318207,135.81712174415588,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,368.78,82.84300000000007,5.748874999999998,363.56,1.0,2.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,22351.325761318207,135.6914975643158,111286,8541
no,0.1,0,1.0,60.11750000000001,1.9087500000000008,364.16,83.16175675675676,7.583378378378379,332.0,4.0,1.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,22351.325761318207,143.94982051849365,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,351.73,83.16175675675676,7.583378378378379,354.05,4.0,2.0,262.9375,271.0063053732945,310.3427083333333,159.99631033818122,22351.325761318207,147.02744841575625,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,360.85,82.84300000000007,5.748874999999998,350.52,1.0,2.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,22351.325761318207,138.27068662643433,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,367.89,88.3555681818182,59.470681818181816,354.58,90.0,2.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,22351.325761318207,130.83954620361328,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,367.13,83.16175675675676,7.583378378378379,351.38,4.0,2.0,272.58020833333336,280.94696364104607,321.73125,165.86233832138478,22351.325761318207,133.7696614265442,111286,8541
no,0.1,0,1.0,60.11750000000001,1.9087500000000008,376.59,88.3555681818182,59.470681818181816,350.23,90.0,1.0,273.778125,281.3682189332176,323.6166666666666,169.07087189170767,22351.325761318207,132.02397418022156,111286,8541
no,0.1,0,1.0,60.11750000000001,1.9087500000000008,367.3,83.16175675675676,7.583378378378379,344.39333333333326,4.0,1.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545095,22351.325761318207,137.28148341178894,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,354.82,83.71837499999997,10.650250000000002,360.12,9.0,2.0,264.81458333333336,272.93997736802817,312.5572916666667,161.13607587015267,22351.325761318207,138.3032741546631,111286,8541
no,0.1,0,1.0,60.11750000000001,1.9087500000000008,368.07,82.84300000000007,5.748874999999998,355.42,1.0,1.0,265.96875,273.34187968568625,314.3895833333333,164.2528636731378,22351.325761318207,138.9161250591278,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,371.03,88.3555681818182,59.470681818181816,369.95,90.0,2.0,276.1395833333333,285.20777969723474,323.63125,173.37781439226154,22351.325761318207,130.59416031837463,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,367.13,83.06407894736847,7.121710526315791,352.79,3.0,2.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,22351.325761318207,134.19898438453674,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,375.7,82.93710526315787,6.398684210526315,337.81,2.0,2.0,274.5770833333333,282.1960287486219,324.5729166666667,169.57505742244757,22351.325761318207,130.97371697425842,111286,8541
no,0.1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.37602245646727,22351.325761318207,91.87308979034424,111286,8541
no,0.1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,22351.325761318207,62.218101978302,111286,8541
no,0.1,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,22351.325761318207,62.99585270881653,111286,8541
no,0.1,0,1.0,333.927012987013,206.3350649350649,263.86,83.16175675675676,7.583378378378379,351.8409090909091,4.0,100.0,268.021875,276.81694997293374,314.1177083333333,168.27839903638332,22351.325761318207,71.57428765296936,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,355.56,83.06407894736847,7.121710526315791,361.55,3.0,2.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,22351.325761318207,138.50583577156067,111286,8541
no,0.1,0,1.0,65.97842105263156,3.089473684210526,364.85,82.84300000000007,5.748874999999998,355.42,1.0,2.0,266.50625,273.8953361583049,315.028125,164.58755882959193,22351.325761318207,137.863951921463,111286,8541
no,0.2,0,1.0,333.927012987013,206.3350649350649,259.94999999999993,86.00180722891571,36.17566265060241,321.36,51.0,100.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,22351.325761318207,146.22637224197388,111286,8541
no,0.2,0,1.0,174.65716049382715,62.30987654320988,319.25,84.17166666666668,13.078076923076924,293.06,13.0,34.0,262.66770833333334,270.722787757911,310.025,159.83073859555302,22351.325761318207,145.91422843933103,111286,8541
no,0.2,0,1.0,176.83457831325302,64.82771084337348,327.48,84.17166666666668,13.078076923076924,304.6833333333332,13.0,35.0,263.81875,271.127500108536,311.83958333333334,162.92226832601202,22351.325761318207,137.8022005558014,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,22351.325761318207,128.1076910495758,111286,8541
no,0.2,0,1.0,179.6154761904762,73.50357142857139,329.09,83.60563218390806,10.018850574712644,323.94,8.0,36.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,22351.325761318207,71.97731566429138,111286,8541
no,0.2,0,1.0,179.166,83.03499999999998,337.53,83.38345679012345,8.837037037037033,329.7975,6.0,37.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,22351.325761318207,133.05774688720703,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,22351.325761318207,87.33060097694397,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,22351.325761318207,63.212347984313965,111286,8541
no,0.2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,22351.325761318207,63.156598806381226,111286,8541
no,0.2,0,1.0,333.927012987013,206.3350649350649,267.75,88.3555681818182,59.470681818181816,326.46,90.0,100.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,22351.325761318207,68.42679691314697,111286,8541
no,0.2,0,1.0,176.83457831325302,64.82771084337348,326.06,83.06407894736847,7.121710526315791,322.4,3.0,35.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,22351.325761318207,136.79614996910095,111286,8541
no,0.2,0,1.0,179.166,83.03499999999998,333.6,83.95182926829261,11.849756097560972,319.48,11.0,37.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,22351.325761318207,135.62224054336548,111286,8541
