instance,improvement,sol(keuro),cplex_time,status,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_memAvg(MB) %,y_time(sec) %,,PV_mean,PV_std,Load_mean,Load_std,baseline_memAvg(MB),baseline_time(sec),,baseline_memAvg(MB),baseline_time(sec)
19,0.12,374.49,0.5725,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0013,,,,,,,,,51.13,1.09
19,0.15,361.73,0.5763,integer optimal solution,4043.35,871.42,348.32,38,0.0126,0.0013,,,,,,,,,51.13,1.09
19,0.17,353.21,0.5780,integer optimal solution,4043.35,871.42,348.32,38,0.0126,0.0013,,,,,,,,,51.13,1.09
19,0.20,340.45,0.5584,No solution,,,,,,,,,,,,,,,51.13,1.09
20,0.02,409.64,0.5745,integer optimal solution,88.92,6.93,339.49,1,0.5755,0.1832,,274.86,278.63,332.45,171.61,51.17,1.27,,51.17,1.27
20,0.05,397.10,0.5724,integer optimal solution,88.92,6.93,339.49,1,0.5755,0.1832,,,,,,,,,51.17,1.27
20,0.07,388.74,0.5628,integer optimal solution,88.92,6.93,339.49,1,0.5755,0.1832,,,,,,,,,51.17,1.27
20,0.10,376.20,0.5647,integer optimal solution,88.92,6.93,339.49,1,0.5755,0.1832,,,,,,,,,51.17,1.27
20,0.12,367.84,0.5685,integer optimal solution,88.92,6.93,339.49,1,0.5755,0.1832,,,,,,,,,51.17,1.27
20,0.15,355.30,0.5786,integer optimal solution,88.92,6.93,339.49,1,0.5755,0.1832,,,,,,,,,51.17,1.27
20,0.17,346.94,0.5812,integer optimal solution,88.92,6.93,339.49,1,0.5755,0.1832,,,,,,,,,51.17,1.27
20,0.20,334.40,0.5639,integer optimal solution,396.82,18.39,296.89,3,0.1290,0.0690,,,,,,,,,51.17,1.27
20,0.22,326.04,0.5727,integer optimal solution,396.82,18.39,296.89,3,0.1290,0.0690,,,,,,,,,51.17,1.27
20,0.25,313.50,0.6071,integer optimal solution,396.82,18.39,296.89,3,0.1290,0.0690,,,,,,,,,51.17,1.27
20,0.27,305.14,0.5762,integer optimal solution,396.82,18.39,296.89,3,0.1290,0.0690,,,,,,,,,51.17,1.27
20,0.30,292.60,0.5698,integer optimal solution,1100.16,76.83,289.44,9,0.0465,0.0165,,,,,,,,,51.17,1.27
20,0.32,284.24,0.5656,integer optimal solution,1622.77,136.32,283.67,13,0.0315,0.0093,,,,,,,,,51.17,1.27
20,0.35,271.70,0.5640,No solution,,,,,,,,,,,,,,,51.17,1.27
21,0.02,396.18,0.5679,integer optimal solution,3897.04,830.83,333.30,37,0.0131,0.0016,,279.54,282.27,333.56,175.39,51.18,1.33,,51.18,1.33
21,0.05,384.06,0.5763,integer optimal solution,3897.04,830.83,333.30,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.07,375.97,0.5780,integer optimal solution,3897.04,830.83,333.30,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.10,363.84,0.5701,integer optimal solution,3897.04,830.83,333.30,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.12,355.76,0.5618,integer optimal solution,3897.04,830.83,333.30,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.15,343.63,0.5584,integer optimal solution,3897.04,830.83,333.30,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.17,335.54,0.5667,integer optimal solution,3897.04,830.83,333.30,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.20,323.42,0.4843,No solution,,,,,,,,,,,,,,,51.18,1.33
22,0.02,386.26,0.6428,integer optimal solution,3958.81,601.21,380.02,31,0.0126,0.0023,,269.36,278.45,320.58,173.26,49.85,1.36,,49.85,1.36
22,0.05,374.43,0.6405,integer optimal solution,4246.90,672.11,370.07,33,0.0117,0.0020,,,,,,,,,49.85,1.36
22,0.07,366.55,0.6543,integer optimal solution,3897.04,830.83,351.62,37,0.0128,0.0016,,,,,,,,,49.85,1.36
22,0.10,354.73,0.6594,integer optimal solution,3897.04,830.83,351.62,37,0.0128,0.0016,,,,,,,,,49.85,1.36
22,0.12,346.84,0.6569,integer optimal solution,4043.35,871.42,344.15,38,0.0123,0.0016,,,,,,,,,49.85,1.36
22,0.15,335.02,0.6408,No solution,,,,,,,,,,,,,,,49.85,1.36
23,0.02,388.43,0.6343,integer optimal solution,88.92,6.93,386.88,1,0.5611,0.1818,,269.33,277.57,320.06,176.08,49.89,1.26,,49.89,1.26
23,0.05,376.54,0.6382,integer optimal solution,396.82,18.39,317.53,3,0.1257,0.0685,,,,,,,,,49.89,1.26
23,0.07,368.61,0.6439,integer optimal solution,396.82,18.39,317.53,3,0.1257,0.0685,,,,,,,,,49.89,1.26
23,0.10,356.72,0.6494,integer optimal solution,396.82,18.39,317.53,3,0.1257,0.0685,,,,,,,,,49.89,1.26
23,0.12,348.80,0.6449,integer optimal solution,396.82,18.39,317.53,3,0.1257,0.0685,,,,,,,,,49.89,1.26
23,0.15,336.91,0.6406,integer optimal solution,396.82,18.39,317.53,3,0.1257,0.0685,,,,,,,,,49.89,1.26
23,0.17,328.98,0.6334,integer optimal solution,396.82,18.39,317.53,3,0.1257,0.0685,,,,,,,,,49.89,1.26
23,0.20,317.09,0.6261,integer optimal solution,541.70,25.37,315.93,4,0.0921,0.0497,,,,,,,,,49.89,1.26
23,0.22,309.16,0.6329,No solution,,,,,,,,,,,,,,,49.89,1.26
24,0.02,397.12,0.6220,integer optimal solution,396.82,18.39,396.79,3,0.1258,0.0739,,270.65,279.73,324.68,175.68,49.91,1.36,,49.91,1.36
24,0.05,384.96,0.6158,integer optimal solution,3801.91,788.73,364.14,36,0.0131,0.0017,,,,,,,,,49.91,1.36
24,0.07,376.85,0.6018,integer optimal solution,3801.91,788.73,364.14,36,0.0131,0.0017,,,,,,,,,49.91,1.36
24,0.10,364.70,0.6056,integer optimal solution,3801.91,788.73,364.14,36,0.0131,0.0017,,,,,,,,,49.91,1.36
24,0.12,356.59,0.5802,integer optimal solution,6849.40,2936.65,355.33,72,0.0073,0.0005,,,,,,,,,49.91,1.36
24,0.15,344.44,0.5654,No solution,,,,,,,,,,,,,,,49.91,1.36
27,0.02,391.24,0.5982,integer optimal solution,3801.91,788.73,364.14,36,0.0131,0.0017,,271.07,279.91,323.29,175.81,49.94,1.31,,49.94,1.31
27,0.05,379.26,0.6097,integer optimal solution,3801.91,788.73,364.14,36,0.0131,0.0017,,,,,,,,,49.94,1.31
27,0.07,371.27,0.5964,integer optimal solution,3801.91,788.73,364.14,36,0.0131,0.0017,,,,,,,,,49.94,1.31
27,0.10,359.30,0.5578,integer optimal solution,6849.40,2936.65,355.33,72,0.0073,0.0004,,,,,,,,,49.94,1.31
27,0.12,351.31,0.5449,No solution,,,,,,,,,,,,,,,49.94,1.31
28,0.02,393.20,0.6695,integer optimal solution,396.82,18.39,371.92,3,0.1259,0.0696,,269.73,279.67,322.10,175.15,49.95,1.28,,49.95,1.28
28,0.05,381.16,0.6324,integer optimal solution,396.82,18.39,371.92,3,0.1259,0.0696,,,,,,,,,49.95,1.28
28,0.07,373.13,0.6573,integer optimal solution,396.82,18.39,371.92,3,0.1259,0.0696,,,,,,,,,49.95,1.28
28,0.10,361.10,0.5781,No solution,,,,,,,,,,,,,,,49.95,1.28
31,0.02,394.06,0.6918,integer optimal solution,88.92,6.93,374.97,1,0.5624,0.1948,,268.36,277.07,321.86,173.43,50.01,1.35,,50.01,1.35
31,0.05,382.00,0.6815,integer optimal solution,88.92,6.93,374.97,1,0.5624,0.1948,,,,,,,,,50.01,1.35
31,0.07,373.95,0.6517,integer optimal solution,251.78,12.22,366.52,2,0.1986,0.1104,,,,,,,,,50.01,1.35
31,0.10,361.89,0.6629,integer optimal solution,396.82,18.39,321.97,3,0.1260,0.0734,,,,,,,,,50.01,1.35
31,0.12,353.85,0.6736,integer optimal solution,396.82,18.39,321.97,3,0.1260,0.0734,,,,,,,,,50.01,1.35
31,0.15,341.79,0.6533,integer optimal solution,396.82,18.39,321.97,3,0.1260,0.0734,,,,,,,,,50.01,1.35
31,0.17,333.74,0.6618,integer optimal solution,396.82,18.39,321.97,3,0.1260,0.0734,,,,,,,,,50.01,1.35
31,0.20,321.68,0.6522,integer optimal solution,1622.77,136.32,320.27,13,0.0308,0.0099,,,,,,,,,50.01,1.35
31,0.22,313.64,0.6530,integer optimal solution,3958.81,601.21,305.72,31,0.0126,0.0022,,,,,,,,,50.01,1.35
31,0.25,301.58,0.6474,integer optimal solution,6849.40,2936.65,295.38,72,0.0073,0.0005,,,,,,,,,50.01,1.35
31,0.27,293.53,0.6752,No solution,,,,,,,,,,,,,,,50.01,1.35
32,0.02,367.68,0.5725,integer optimal solution,396.82,18.39,355.17,3,0.1261,0.0707,,272.00,280.96,318.64,170.87,50.02,1.30,,50.02,1.30
32,0.05,356.42,0.5708,integer optimal solution,396.82,18.39,355.17,3,0.1261,0.0707,,,,,,,,,50.02,1.30
32,0.07,348.92,0.5797,integer optimal solution,986.27,64.66,340.77,8,0.0507,0.0201,,,,,,,,,50.02,1.30
32,0.10,337.66,0.5828,integer optimal solution,1532.98,120.01,333.99,12,0.0326,0.0108,,,,,,,,,50.02,1.30
32,0.12,330.16,0.5747,integer optimal solution,3958.81,601.21,302.36,31,0.0126,0.0022,,,,,,,,,50.02,1.30
32,0.15,318.90,0.5850,integer optimal solution,3958.81,601.21,302.36,31,0.0126,0.0022,,,,,,,,,50.02,1.30
32,0.17,311.40,0.5750,integer optimal solution,3958.81,601.21,302.36,31,0.0126,0.0022,,,,,,,,,50.02,1.30
32,0.20,300.14,0.5713,No solution,,,,,,,,,,,,,,,50.02,1.30
33,0.02,396.04,0.5034,No solution,,,,,,,,272.85,281.22,326.21,176.15,50.03,1.30,,50.03,1.30
35,0.02,383.49,0.5308,No solution,,,,,,,,271.50,280.67,322.88,172.87,50.04,1.29,,50.04,1.29
37,0.02,400.84,0.5775,integer optimal solution,1244.07,90.34,397.03,10,0.0402,0.0141,,272.05,280.42,325.81,175.50,50.07,1.27,,50.07,1.27
37,0.05,388.57,0.5587,integer optimal solution,4043.35,871.42,371.82,38,0.0124,0.0015,,,,,,,,,50.07,1.27
37,0.07,380.39,0.5480,integer optimal solution,4043.35,871.42,371.82,38,0.0124,0.0015,,,,,,,,,50.07,1.27
37,0.10,368.12,0.5084,No solution,,,,,,,,,,,,,,,50.07,1.27
39,0.02,378.33,0.6033,integer optimal solution,1532.98,120.01,305.37,12,0.0327,0.0111,,271.72,280.17,321.77,168.65,50.13,1.33,,50.13,1.33
39,0.05,366.75,0.5825,integer optimal solution,1532.98,120.01,305.37,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.07,359.03,0.5866,integer optimal solution,1532.98,120.01,305.37,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.10,347.45,0.5962,integer optimal solution,1532.98,120.01,305.37,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.12,339.72,0.5894,integer optimal solution,1532.98,120.01,305.37,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.15,328.14,0.5929,integer optimal solution,1532.98,120.01,305.37,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.17,320.42,0.5982,integer optimal solution,1532.98,120.01,305.37,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.20,308.84,0.5959,integer optimal solution,1532.98,120.01,305.37,12,0.0327,0.0111,,,,,,,,,50.13,1.33
39,0.22,301.12,0.5885,integer optimal solution,6849.40,2936.65,294.26,72,0.0073,0.0005,,,,,,,,,50.13,1.33
39,0.25,289.54,0.5894,No solution,,,,,,,,,,,,,,,50.13,1.33
40,0.02,390.33,0.5016,No solution,,,,,,,,271.94,280.16,323.89,174.57,50.17,1.29,,50.17,1.29
