instance,improvement,sol(keuro),cplex_time,status,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_memAvg(MB) %,y_time(sec) %,,PV_mean,PV_std,Load_mean,Load_std,baseline_memAvg(MB),baseline_time(sec),,baseline_memAvg(MB),baseline_time(sec)
0,0.02,368.67,0.6071,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,271.11,279.88,318.33,170.15,49.77,1.07,,49.77,1.07
0,0.05,357.38,0.6032,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.07,349.86,0.6052,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.10,338.57,0.6009,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.12,331.05,0.6067,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.15,319.76,0.6158,integer optimal solution,396.82,18.39,314.08,3,0.1254,0.0582,,,,,,,,,49.77,1.07
0,0.17,312.24,0.6017,integer optimal solution,685.65,33.55,306.41,5,0.0726,0.0319,,,,,,,,,49.77,1.07
0,0.20,300.95,0.5971,No solution,,,,,,,,,,,,,,,49.77,1.07
1,0.02,401.28,0.6508,integer optimal solution,88.92,6.93,386.88,1,0.5607,0.2034,,269.86,277.66,324.43,176.99,49.86,1.41,,49.86,1.41
1,0.05,389.00,0.6445,integer optimal solution,88.92,6.93,386.88,1,0.5607,0.2034,,,,,,,,,49.86,1.41
1,0.07,380.81,0.6455,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.10,368.52,0.6466,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.12,360.33,0.6420,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.15,348.05,0.6400,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.17,339.86,0.6349,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.20,327.58,0.6386,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.22,319.39,0.6325,integer optimal solution,396.82,18.39,317.53,3,0.1256,0.0767,,,,,,,,,49.86,1.41
1,0.25,307.10,0.6304,No solution,,,,,,,,,,,,,,,49.86,1.41
2,0.02,399.96,0.6658,integer optimal solution,88.92,6.93,374.97,1,0.5611,0.1933,,267.45,276.59,322.36,174.04,49.89,1.34,,49.89,1.34
2,0.05,387.71,0.6664,integer optimal solution,88.92,6.93,374.97,1,0.5611,0.1933,,,,,,,,,49.89,1.34
2,0.07,379.55,0.6635,integer optimal solution,88.92,6.93,374.97,1,0.5611,0.1933,,,,,,,,,49.89,1.34
2,0.10,367.31,0.6552,integer optimal solution,251.78,12.22,366.52,2,0.1982,0.1096,,,,,,,,,49.89,1.34
2,0.12,359.15,0.6608,integer optimal solution,396.82,18.39,321.97,3,0.1257,0.0728,,,,,,,,,49.89,1.34
2,0.15,346.90,0.6799,integer optimal solution,396.82,18.39,321.97,3,0.1257,0.0728,,,,,,,,,49.89,1.34
2,0.17,338.74,0.6696,integer optimal solution,396.82,18.39,321.97,3,0.1257,0.0728,,,,,,,,,49.89,1.34
2,0.20,326.50,0.6828,integer optimal solution,396.82,18.39,321.97,3,0.1257,0.0728,,,,,,,,,49.89,1.34
2,0.22,318.33,0.6811,integer optimal solution,3958.81,601.21,305.72,31,0.0126,0.0022,,,,,,,,,49.89,1.34
2,0.25,306.09,0.6628,integer optimal solution,3958.81,601.21,305.72,31,0.0126,0.0022,,,,,,,,,49.89,1.34
2,0.27,297.93,0.6512,integer optimal solution,6849.40,2936.65,295.38,72,0.0073,0.0005,,,,,,,,,49.89,1.34
2,0.30,285.68,0.6491,No solution,,,,,,,,,,,,,,,49.89,1.34
3,0.02,371.32,0.6137,integer optimal solution,3801.91,788.73,364.14,36,0.0131,0.0017,,270.67,279.47,318.44,170.88,49.95,1.38,,49.95,1.38
3,0.05,359.96,0.5626,integer optimal solution,6849.40,2936.65,355.33,72,0.0073,0.0005,,,,,,,,,49.95,1.38
3,0.07,352.38,0.5512,No solution,,,,,,,,,,,,,,,49.95,1.38
4,0.02,387.94,0.6633,integer optimal solution,88.92,6.93,361.22,1,0.5636,0.1818,,270.19,277.39,321.66,173.31,50.11,1.26,,50.11,1.26
4,0.05,376.07,0.6706,integer optimal solution,88.92,6.93,361.22,1,0.5636,0.1818,,,,,,,,,50.11,1.26
4,0.07,368.15,0.6561,integer optimal solution,88.92,6.93,361.22,1,0.5636,0.1818,,,,,,,,,50.11,1.26
4,0.10,356.27,0.6545,integer optimal solution,251.78,12.22,349.09,2,0.1990,0.1031,,,,,,,,,50.11,1.26
4,0.12,348.36,0.6677,integer optimal solution,396.82,18.39,322.10,3,0.1263,0.0685,,,,,,,,,50.11,1.26
4,0.15,336.48,0.6517,integer optimal solution,396.82,18.39,322.10,3,0.1263,0.0685,,,,,,,,,50.11,1.26
4,0.17,328.56,0.6633,integer optimal solution,396.82,18.39,322.10,3,0.1263,0.0685,,,,,,,,,50.11,1.26
4,0.20,316.69,0.6407,No solution,,,,,,,,,,,,,,,50.11,1.26
5,0.02,396.33,0.6396,integer optimal solution,1532.98,120.01,377.49,12,0.0327,0.0111,,269.76,279.49,323.94,173.60,50.14,1.33,,50.14,1.33
5,0.05,384.20,0.6243,integer optimal solution,1532.98,120.01,377.49,12,0.0327,0.0111,,,,,,,,,50.14,1.33
5,0.07,376.11,0.6231,integer optimal solution,1952.16,212.86,370.86,17,0.0257,0.0062,,,,,,,,,50.14,1.33
5,0.10,363.98,0.5791,No solution,,,,,,,,,,,,,,,50.14,1.33
6,0.02,404.66,0.6280,integer optimal solution,3240.47,439.59,392.80,26,0.0155,0.0029,,269.46,278.54,325.92,174.24,50.19,1.28,,50.19,1.28
6,0.05,392.27,0.6418,integer optimal solution,3958.81,601.21,380.02,31,0.0127,0.0021,,,,,,,,,50.19,1.28
6,0.07,384.02,0.6593,integer optimal solution,3958.81,601.21,380.02,31,0.0127,0.0021,,,,,,,,,50.19,1.28
6,0.10,371.63,0.6477,integer optimal solution,4246.90,672.11,370.07,33,0.0118,0.0019,,,,,,,,,50.19,1.28
6,0.12,363.37,0.6407,integer optimal solution,3897.04,830.83,351.62,37,0.0129,0.0015,,,,,,,,,50.19,1.28
6,0.15,350.98,0.6469,integer optimal solution,4043.35,871.42,344.15,38,0.0124,0.0015,,,,,,,,,50.19,1.28
6,0.17,342.72,0.6341,integer optimal solution,7376.04,3013.23,339.12,73,0.0068,0.0004,,,,,,,,,50.19,1.28
6,0.20,330.34,0.6297,No solution,,,,,,,,,,,,,,,50.19,1.28
7,0.02,399.79,0.5675,integer optimal solution,1100.16,76.83,390.37,9,0.0457,0.0169,,274.60,283.02,328.15,176.06,50.23,1.30,,50.23,1.30
7,0.05,387.55,0.5626,integer optimal solution,1532.98,120.01,371.32,12,0.0328,0.0108,,,,,,,,,50.23,1.30
7,0.07,379.39,0.5679,integer optimal solution,1532.98,120.01,371.32,12,0.0328,0.0108,,,,,,,,,50.23,1.30
7,0.10,367.16,0.5848,integer optimal solution,3897.04,830.83,365.33,37,0.0129,0.0016,,,,,,,,,50.23,1.30
7,0.12,359.00,0.5800,integer optimal solution,4933.31,1181.61,353.02,45,0.0102,0.0011,,,,,,,,,50.23,1.30
7,0.15,346.76,0.5745,No solution,,,,,,,,,,,,,,,50.23,1.30
8,0.02,392.56,0.5054,No solution,,,,,,,,272.11,280.05,324.88,174.79,50.31,1.31,,50.31,1.31
9,0.02,409.27,0.5780,integer optimal solution,88.92,6.93,339.49,1,0.5666,0.1876,,271.98,279.58,328.96,176.01,50.38,1.30,,50.38,1.30
9,0.05,396.74,0.5657,integer optimal solution,88.92,6.93,339.49,1,0.5666,0.1876,,,,,,,,,50.38,1.30
9,0.07,388.39,0.5643,integer optimal solution,88.92,6.93,339.49,1,0.5666,0.1876,,,,,,,,,50.38,1.30
9,0.10,375.86,0.5649,integer optimal solution,88.92,6.93,339.49,1,0.5666,0.1876,,,,,,,,,50.38,1.30
9,0.12,367.51,0.5760,integer optimal solution,88.92,6.93,339.49,1,0.5666,0.1876,,,,,,,,,50.38,1.30
9,0.15,354.98,0.5799,integer optimal solution,88.92,6.93,339.49,1,0.5666,0.1876,,,,,,,,,50.38,1.30
9,0.17,346.62,0.5795,integer optimal solution,88.92,6.93,339.49,1,0.5666,0.1876,,,,,,,,,50.38,1.30
9,0.20,334.10,0.5772,integer optimal solution,396.82,18.39,296.89,3,0.1270,0.0707,,,,,,,,,50.38,1.30
9,0.22,325.74,0.5696,integer optimal solution,396.82,18.39,296.89,3,0.1270,0.0707,,,,,,,,,50.38,1.30
9,0.25,313.22,0.5769,integer optimal solution,396.82,18.39,296.89,3,0.1270,0.0707,,,,,,,,,50.38,1.30
9,0.27,304.86,0.5707,integer optimal solution,396.82,18.39,296.89,3,0.1270,0.0707,,,,,,,,,50.38,1.30
9,0.30,292.33,0.5763,integer optimal solution,1100.16,76.83,289.44,9,0.0458,0.0169,,,,,,,,,50.38,1.30
9,0.32,283.98,0.5707,integer optimal solution,1622.77,136.32,283.67,13,0.0310,0.0095,,,,,,,,,50.38,1.30
9,0.35,271.45,0.5656,No solution,,,,,,,,,,,,,,,50.38,1.30
10,0.02,401.81,0.5879,integer optimal solution,4306.25,709.34,387.27,34,0.0117,0.0018,,274.39,281.12,329.48,176.06,50.39,1.31,,50.39,1.31
10,0.05,389.51,0.5757,integer optimal solution,4306.25,709.34,387.27,34,0.0117,0.0018,,,,,,,,,50.39,1.31
10,0.07,381.31,0.5885,integer optimal solution,3897.04,830.83,362.94,37,0.0129,0.0016,,,,,,,,,50.39,1.31
10,0.10,369.01,0.6041,integer optimal solution,3897.04,830.83,362.94,37,0.0129,0.0016,,,,,,,,,50.39,1.31
10,0.12,360.81,0.6006,integer optimal solution,4043.35,871.42,348.32,38,0.0125,0.0015,,,,,,,,,50.39,1.31
10,0.15,348.51,0.5732,integer optimal solution,4043.35,871.42,348.32,38,0.0125,0.0015,,,,,,,,,50.39,1.31
10,0.17,340.31,0.5583,No solution,,,,,,,,,,,,,,,50.39,1.31
11,0.02,391.44,0.5736,integer optimal solution,975.19,52.82,387.65,7,0.0518,0.0250,,276.03,284.04,328.42,172.21,50.50,1.32,,50.50,1.32
11,0.05,379.46,0.5642,integer optimal solution,1388.64,104.45,375.35,11,0.0364,0.0126,,,,,,,,,50.50,1.32
11,0.07,371.47,0.5795,integer optimal solution,2810.77,355.76,363.23,23,0.0180,0.0037,,,,,,,,,50.50,1.32
11,0.10,359.49,0.5681,integer optimal solution,2953.95,381.99,352.75,24,0.0171,0.0035,,,,,,,,,50.50,1.32
11,0.12,351.50,0.5830,integer optimal solution,3958.81,601.21,340.85,31,0.0128,0.0022,,,,,,,,,50.50,1.32
11,0.15,339.52,0.5673,No solution,,,,,,,,,,,,,,,50.50,1.32
13,0.02,397.72,0.5537,integer optimal solution,975.19,52.82,387.65,7,0.0522,0.0246,,275.82,280.88,330.07,174.98,50.88,1.30,,50.88,1.30
13,0.05,385.55,0.5454,integer optimal solution,1388.64,104.45,375.35,11,0.0366,0.0124,,,,,,,,,50.88,1.30
13,0.07,377.43,0.5655,integer optimal solution,1388.64,104.45,375.35,11,0.0366,0.0124,,,,,,,,,50.88,1.30
13,0.10,365.26,0.5587,integer optimal solution,2810.77,355.76,363.23,23,0.0181,0.0037,,,,,,,,,50.88,1.30
13,0.12,357.14,0.5566,integer optimal solution,2953.95,381.99,352.75,24,0.0172,0.0034,,,,,,,,,50.88,1.30
13,0.15,344.96,0.5479,integer optimal solution,3958.81,601.21,340.85,31,0.0129,0.0022,,,,,,,,,50.88,1.30
13,0.17,336.85,0.5531,No solution,,,,,,,,,,,,,,,50.88,1.30
14,0.02,409.98,0.5672,integer optimal solution,88.92,6.93,339.49,1,0.5722,0.1847,,274.63,278.33,331.56,176.42,50.88,1.28,,50.88,1.28
14,0.05,397.43,0.5572,integer optimal solution,88.92,6.93,339.49,1,0.5722,0.1847,,,,,,,,,50.88,1.28
14,0.07,389.07,0.5626,integer optimal solution,88.92,6.93,339.49,1,0.5722,0.1847,,,,,,,,,50.88,1.28
14,0.10,376.52,0.5548,integer optimal solution,88.92,6.93,339.49,1,0.5722,0.1847,,,,,,,,,50.88,1.28
14,0.12,368.15,0.5694,integer optimal solution,88.92,6.93,339.49,1,0.5722,0.1847,,,,,,,,,50.88,1.28
14,0.15,355.60,0.5813,integer optimal solution,88.92,6.93,339.49,1,0.5722,0.1847,,,,,,,,,50.88,1.28
14,0.17,347.23,0.5751,integer optimal solution,88.92,6.93,339.49,1,0.5722,0.1847,,,,,,,,,50.88,1.28
14,0.20,334.68,0.5602,integer optimal solution,396.82,18.39,296.89,3,0.1282,0.0696,,,,,,,,,50.88,1.28
14,0.22,326.31,0.5703,integer optimal solution,396.82,18.39,296.89,3,0.1282,0.0696,,,,,,,,,50.88,1.28
14,0.25,313.76,0.5700,integer optimal solution,396.82,18.39,296.89,3,0.1282,0.0696,,,,,,,,,50.88,1.28
14,0.27,305.40,0.5721,integer optimal solution,396.82,18.39,296.89,3,0.1282,0.0696,,,,,,,,,50.88,1.28
14,0.30,292.85,0.5666,integer optimal solution,1100.16,76.83,289.44,9,0.0462,0.0167,,,,,,,,,50.88,1.28
14,0.32,284.48,0.5768,integer optimal solution,1622.77,136.32,283.67,13,0.0314,0.0094,,,,,,,,,50.88,1.28
14,0.35,271.93,0.5666,No solution,,,,,,,,,,,,,,,50.88,1.28
15,0.02,402.04,0.5107,No solution,,,,,,,,277.55,282.60,332.37,176.71,50.89,1.33,,50.89,1.33
16,0.02,398.61,0.5768,integer optimal solution,4306.25,709.34,387.27,34,0.0118,0.0018,,274.90,280.79,330.29,172.65,50.89,1.26,,50.89,1.26
16,0.05,386.40,0.5898,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0015,,,,,,,,,50.89,1.26
16,0.07,378.27,0.5633,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0015,,,,,,,,,50.89,1.26
16,0.10,366.07,0.5926,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0015,,,,,,,,,50.89,1.26
16,0.12,357.93,0.5742,integer optimal solution,4043.35,871.42,348.32,38,0.0126,0.0014,,,,,,,,,50.89,1.26
16,0.15,345.73,0.5710,integer optimal solution,6849.40,2936.65,341.13,72,0.0074,0.0004,,,,,,,,,50.89,1.26
16,0.17,337.59,0.5659,No solution,,,,,,,,,,,,,,,50.89,1.26
17,0.02,411.83,0.5622,integer optimal solution,1532.98,120.01,411.11,12,0.0332,0.0107,,276.66,283.74,333.90,174.75,50.91,1.29,,50.91,1.29
17,0.05,399.22,0.4678,integer optimal solution,3958.81,601.21,377.96,31,0.0129,0.0021,,,,,,,,,50.91,1.29
17,0.07,390.81,0.5147,integer optimal solution,3958.81,601.21,377.96,31,0.0129,0.0021,,,,,,,,,50.91,1.29
17,0.10,378.21,0.5117,integer optimal solution,3958.81,601.21,377.96,31,0.0129,0.0021,,,,,,,,,50.91,1.29
17,0.12,369.80,0.4965,No solution,,,,,,,,,,,,,,,50.91,1.29
18,0.02,401.12,0.5025,No solution,,,,,,,,277.98,282.55,332.22,175.29,51.07,1.26,,51.07,1.26
19,0.02,417.05,0.5903,integer optimal solution,4102.81,636.27,414.40,32,0.0125,0.0017,,274.99,280.01,334.30,175.31,51.13,1.09,,51.13,1.09
19,0.05,404.28,0.5592,integer optimal solution,4306.25,709.34,387.27,34,0.0119,0.0015,,,,,,,,,51.13,1.09
19,0.07,395.77,0.5685,integer optimal solution,4306.25,709.34,387.27,34,0.0119,0.0015,,,,,,,,,51.13,1.09
19,0.10,383.00,0.5714,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0013,,,,,,,,,51.13,1.09
