time_less_than,mem_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,100,0,1.0,60.11750000000001,1.9087500000000008,368.15,88.94467532467529,65.04909090909092,293.9483333333334,100.0,1.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,98.49062275886536,1.225543737411499,17664,1928
no,100,0,1.0,60.11750000000001,1.9087500000000008,377.49,88.94467532467529,65.04909090909092,296.5314285714289,100.0,1.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,98.49062275886536,1.164836883544922,17664,1928
no,100,0,1.0,97.9358620689655,11.444827586206904,352.6135294117646,88.94467532467529,65.04909090909092,296.5314285714289,100.0,8.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,98.49062275886536,1.286695957183838,17664,1928
no,100,0,1.0,78.08094594594596,5.554054054054055,349.20999999999987,86.17620253164554,23.26506329113923,310.11181818181814,30.0,4.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,98.49062275886536,1.304861068725586,17664,1928
no,100,0,1.0,60.11750000000001,1.9087500000000008,369.57,88.94467532467529,65.04909090909092,307.32894736842115,100.0,1.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,98.49062275886536,1.3482658863067627,17664,1928
no,100,0,1.0,60.11750000000001,1.9087500000000008,377.94857142857137,88.94467532467529,65.04909090909092,361.21,100.0,1.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,98.49062275886536,1.1288397312164309,17664,1928
no,100,0,1.0,60.11750000000001,1.9087500000000008,385.235,88.3555681818182,59.470681818181816,311.16,90.0,1.0,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,98.49062275886536,1.1266436576843262,17664,1928
no,100,0,1.0,60.11750000000001,1.9087500000000008,377.94857142857137,84.1716666666667,13.078076923076924,332.7401351351352,13.0,1.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,98.49062275886536,1.109144926071167,17664,1928
no,100,0,1.0,60.11750000000001,1.9087500000000008,367.685,88.3555681818182,59.470681818181816,306.46,90.0,1.0,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,98.49062275886536,1.2172887325286863,17664,1928
no,100,0,1.0,60.11750000000001,1.9087500000000008,364.28,84.1716666666667,13.078076923076924,310.11181818181825,13.0,1.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,98.49062275886536,1.2515931129455566,17664,1928
